year,sub_event_type,country
2012,Excessive force against protesters,Cambodia
2011,Excessive force against protesters,Cambodia
2011,Excessive force against protesters,Cambodia
2010,Excessive force against protesters,Cambodia
2010,Excessive force against protesters,Cambodia
2020,Excessive force against protesters,Cameroon
2020,Excessive force against protesters,Cameroon
2019,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2017,Excessive force against protesters,Cameroon
2016,Excessive force against protesters,Cameroon
2020,Excessive force against protesters,Central African Republic
2017,Excessive force against protesters,Central African Republic
2015,Excessive force against protesters,Central African Republic
2014,Excessive force against protesters,Central African Republic
2014,Excessive force against protesters,Central African Republic
2014,Excessive force against protesters,Central African Republic
2014,Excessive force against protesters,Central African Republic
2014,Excessive force against protesters,Central African Republic
2013,Excessive force against protesters,Central African Republic
2013,Excessive force against protesters,Central African Republic
2010,Excessive force against protesters,Central African Republic
2010,Excessive force against protesters,Central African Republic
2020,Excessive force against protesters,Chad
2020,Excessive force against protesters,Chad
2020,Excessive force against protesters,Chad
2019,Excessive force against protesters,Chad
2019,Excessive force against protesters,Chad
2018,Excessive force against protesters,Chad
2017,Excessive force against protesters,Chad
2016,Excessive force against protesters,Chad
2016,Excessive force against protesters,Chad
2014,Excessive force against protesters,Chad
2014,Excessive force against protesters,Chad
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2020,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2019,Excessive force against protesters,Chile
2018,Excessive force against protesters,Chile
2018,Excessive force against protesters,Chile
2018,Excessive force against protesters,Chile
2020,Excessive force against protesters,China
2020,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2019,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2018,Excessive force against protesters,China
2020,Excessive force against protesters,Colombia
2020,Excessive force against protesters,Colombia
2020,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2019,Excessive force against protesters,Colombia
2018,Excessive force against protesters,Colombia
2018,Excessive force against protesters,Colombia
2018,Excessive force against protesters,Colombia
2020,Excessive force against protesters,Costa Rica
2020,Excessive force against protesters,Costa Rica
2019,Excessive force against protesters,Costa Rica
2019,Excessive force against protesters,Costa Rica
2018,Excessive force against protesters,Costa Rica
2018,Excessive force against protesters,Costa Rica
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2019,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2018,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2017,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2016,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2015,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2014,Excessive force against protesters,Democratic Republic of Congo
2013,Excessive force against protesters,Democratic Republic of Congo
2011,Excessive force against protesters,Democratic Republic of Congo
2010,Excessive force against protesters,Democratic Republic of Congo
2020,Excessive force against protesters,Djibouti
2020,Excessive force against protesters,Djibouti
2020,Excessive force against protesters,Djibouti
2020,Excessive force against protesters,Djibouti
2019,Excessive force against protesters,Djibouti
2017,Excessive force against protesters,Djibouti
2016,Excessive force against protesters,Djibouti
2015,Excessive force against protesters,Djibouti
2012,Excessive force against protesters,Djibouti
2011,Excessive force against protesters,Djibouti
2011,Excessive force against protesters,Djibouti
2018,Excessive force against protesters,Dominican Republic
2018,Excessive force against protesters,Dominican Republic
2018,Excessive force against protesters,Dominican Republic
2018,Excessive force against protesters,Dominican Republic
2018,Excessive force against protesters,Dominican Republic
2020,Excessive force against protesters,Egypt
2020,Excessive force against protesters,Egypt
2020,Excessive force against protesters,Egypt
2020,Excessive force against protesters,Egypt
2019,Excessive force against protesters,Egypt
2016,Excessive force against protesters,Egypt
2016,Excessive force against protesters,Egypt
2016,Excessive force against protesters,Egypt
2016,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2015,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2014,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2013,Excessive force against protesters,Egypt
2012,Excessive force against protesters,Egypt
2012,Excessive force against protesters,Egypt
2012,Excessive force against protesters,Egypt
2012,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2011,Excessive force against protesters,Egypt
2020,Excessive force against protesters,El Salvador
2016,Excessive force against protesters,Equatorial Guinea
2014,Excessive force against protesters,Equatorial Guinea
2018,Excessive force against protesters,eSwatini
2018,Excessive force against protesters,eSwatini
2018,Excessive force against protesters,eSwatini
2016,Excessive force against protesters,eSwatini
2010,Excessive force against protesters,eSwatini
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
2020,Excessive force against protesters,Ethiopia
