infrastructure_type_id,secondary_infrastructure_type_id,country_id,year_commenced,Primary topic,Secondary (if needed)
1 | R&D lab,,65 | Spain,2006,,
15 | Telecommunications or ICT,,226 | Uganda,2006,5 | Chinese state loan,
15 | Telecommunications or ICT,,200 | Sierra Leone,2006,5 | Chinese state loan,
15 | Telecommunications or ICT,,214 | Tajikistan,2006,,
5 | Overseas Office,10 | Subsidiary,112 | Japan,2006,,
5 | Overseas Office,10 | Subsidiary,195 | Singapore,2006,,
5 | Overseas Office,10 | Subsidiary,74 | United Kingdom,2006,,
15 | Telecommunications or ICT,17 | MoU-agreement,236 | Vietnam,2006,,
10 | Subsidiary,,74 | United Kingdom,2006,,
15 | Telecommunications or ICT,17 | MoU-agreement,130 | Lesotho,2006,5 | Chinese state loan,
15 | Telecommunications or ICT,,98 | Hungary,2006,,
15 | Telecommunications or ICT,,3 | Afghanistan,2006,,
15 | Telecommunications or ICT,,113 | Kenya,2006,5 | Chinese state loan,
15 | Telecommunications or ICT,,188 | Russia,2006,,
15 | Telecommunications or ICT,,128 | Sri Lanka,2006,,
15 | Telecommunications or ICT,,66 | Ethiopia,2006,,
15 | Telecommunications or ICT,,74 | United Kingdom,2006,,
15 | Telecommunications or ICT,,161 | Nigeria,2006,,
15 | Telecommunications or ICT,,11 | Argentina,2006,,
15 | Telecommunications or ICT,,233 | Venezuela,2006,,
15 | Telecommunications or ICT,,7 | Armenia,2006,,
15 | Telecommunications or ICT,,134 | Libya,2006,,
15 | Telecommunications or ICT,,29 | Brazil,2006,,
15 | Telecommunications or ICT,,65 | Spain,2006,,
1 | R&D lab,7 | Investment or joint venture,65 | Spain,2007,,
15 | Telecommunications or ICT,,123 | Kazakhstan,2007,5 | Chinese state loan,
10 | Subsidiary,,175 | Pakistan,2007,,
7 | Investment or joint venture,,175 | Pakistan,2007,,
10 | Subsidiary,,112 | Japan,2007,,
15 | Telecommunications or ICT,,3 | Afghanistan,2007,,
15 | Telecommunications or ICT,,210 | Chad,2007,5 | Chinese state loan,
15 | Telecommunications or ICT,,53 | Czech Republic,2007,,
15 | Telecommunications or ICT,,74 | United Kingdom,2007,,
15 | Telecommunications or ICT,,189 | Rwanda,2007,,
15 | Telecommunications or ICT,,161 | Nigeria,2007,,
15 | Telecommunications or ICT,,245 | Zimbabwe,2007,,
15 | Telecommunications or ICT,,76 | Georgia,2007,,
17 | MoU-agreement,,176 | Poland,2007,,
15 | Telecommunications or ICT,,165 | Nepal,2007,,
15 | Telecommunications or ICT,,228 | United States,2007,,
15 | Telecommunications or ICT,,128 | Sri Lanka,2007,,
15 | Telecommunications or ICT,,218 | Tunisia,2007,,
15 | Telecommunications or ICT,,99 | Indonesia,2007,,
15 | Telecommunications or ICT,,175 | Pakistan,2007,,
15 | Telecommunications or ICT,,181 | Portugal,2007,,
1 | R&D lab,7 | Investment or joint venture,108 | Italy,2008,,
11 | Smart cities,,175 | Pakistan,2008,2 | Smart cities,5 | Chinese state loan
15 | Telecommunications or ICT,,226 | Uganda,2008,5 | Chinese state loan,
15 | Telecommunications or ICT,,237 | Vanuatu,2008,5 | Chinese state loan,
7 | Investment or joint venture,,9 | Angola,2008,,
10 | Subsidiary,,228 | United States,2008,4 | Biotech,
15 | Telecommunications or ICT,,65 | Spain,2008,,
15 | Telecommunications or ICT,,66 | Ethiopia,2008,,
15 | Telecommunications or ICT,,175 | Pakistan,2008,,
15 | Telecommunications or ICT,,66 | Ethiopia,2008,,
15 | Telecommunications or ICT,,9 | Angola,2008,,
15 | Telecommunications or ICT,,161 | Nigeria,2008,5 | Chinese state loan,
15 | Telecommunications or ICT,,228 | United States,2008,,
15 | Telecommunications or ICT,,186 | Romania,2008,,
15 | Telecommunications or ICT,,175 | Pakistan,2008,,
15 | Telecommunications or ICT,,47 | Colombia,2008,,
15 | Telecommunications or ICT,,112 | Japan,2008,,
15 | Telecommunications or ICT,,47 | Colombia,2008,,
15 | Telecommunications or ICT,,103 | India,2008,,
15 | Telecommunications or ICT,,66 | Ethiopia,2008,,
15 | Telecommunications or ICT,,148 | Mauritania,2008,,
15 | Telecommunications or ICT,,175 | Pakistan,2008,,
15 | Telecommunications or ICT,3 | Research partnership,173 | Papua New Guinea,2008,5 | Chinese state loan,
1 | R&D lab,,175 | Pakistan,2008,,
3 | Research partnership,,243 | South Africa,2008,,
15 | Telecommunications or ICT,,45 | Cameroon,2009,5 | Chinese state loan,
3 | Research partnership,,93 | Hong Kong,2009,,
3 | Research partnership,,106 | Iran,2009,,
15 | Telecommunications or ICT,,28 | Bolivia,2009,,
15 | Telecommunications or ICT,,220 | Turkey,2009,,
10 | Subsidiary,,195 | Singapore,2009,,
6 | Manufacturing facility,,233 | Venezuela,2009,,
15 | Telecommunications or ICT,,144 | Mongolia,2009,,
15 | Telecommunications or ICT,,202 | Senegal,2009,,
15 | Telecommunications or ICT,,134 | Libya,2009,,
15 | Telecommunications or ICT,,91 | Guyana,2009,,
15 | Telecommunications or ICT,,84 | Guadeloupe,2009,,
15 | Telecommunications or ICT,,72 | France,2009,,
15 | Telecommunications or ICT,,213 | Thailand,2009,,
15 | Telecommunications or ICT,,155 | Malaysia,2009,,
15 | Telecommunications or ICT,,103 | India,2009,,
15 | Telecommunications or ICT,,220 | Turkey,2009,,
15 | Telecommunications or ICT,,233 | Venezuela,2009,,
15 | Telecommunications or ICT,,103 | India,2009,,
3 | Research partnership,,135 | Morocco,2009,,
15 | Telecommunications or ICT,17 | MoU-agreement,236 | Vietnam,2009,,
15 | Telecommunications or ICT,,165 | Nepal,2009,,
15 | Telecommunications or ICT,,144 | Mongolia,2009,,
15 | Telecommunications or ICT,,190 | Saudi Arabia,2009,,
15 | Telecommunications or ICT,,99 | Indonesia,2009,,
15 | Telecommunications or ICT,,245 | Zimbabwe,2009,,
15 | Telecommunications or ICT,,216 | Timor-Leste,2009,,
15 | Telecommunications or ICT,,230 | Uzbekistan,2009,,
15 | Telecommunications or ICT,,139 | Madagascar,2009,,
15 | Telecommunications or ICT,,86 | Greece,2009,,
15 | Telecommunications or ICT,,225 | Ukraine,2009,,
5 | Overseas Office,,74 | United Kingdom,2010,,
1 | R&D lab,3 | Research partnership,36 | Canada,2010,3 | 5G,
10 | Subsidiary,,20 | Belgium,2010,,
15 | Telecommunications or ICT,,29 | Brazil,2010,5 | Chinese state loan,
15 | Telecommunications or ICT,,191 | Solomon Islands,2010,,
15 | Telecommunications or ICT,,103 | India,2010,5 | Chinese state loan,
15 | Telecommunications or ICT,,29 | Brazil,2010,5 | Chinese state loan,
15 | Telecommunications or ICT,,19 | Bangladesh,2010,,
15 | Telecommunications or ICT,,226 | Uganda,2010,5 | Chinese state loan,
3 | Research partnership,1 | R&D lab,36 | Canada,2010,3 | 5G,
1 | R&D lab,,228 | United States,2010,4 | Biotech,
5 | Overseas Office,,112 | Japan,2010,4 | Biotech,
13 | Cable Terrestrial,,114 | Kyrgyzstan,2010,,
5 | Overseas Office,,236 | Vietnam,2010,,
15 | Telecommunications or ICT,,103 | India,2010,5 | Chinese state loan,
1 | R&D lab,,194 | Sweden,2010,,
15 | Telecommunications or ICT,,244 | Zambia,2010,,
15 | Telecommunications or ICT,,103 | India,2010,5 | Chinese state loan,
7 | Investment or joint venture,,228 | United States,2010,,
15 | Telecommunications or ICT,,173 | Papua New Guinea,2011,5 | Chinese state loan,
1 | R&D lab,5 | Overseas Office,228 | United States,2011,,
1 | R&D lab,10 | Subsidiary,228 | United States,2011,1 | Artificial Intelligence,
15 | Telecommunications or ICT,17 | MoU-agreement,190 | Saudi Arabia,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,17 | MoU-agreement,175 | Pakistan,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,17 | MoU-agreement,224 | Tanzania,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,17 | MoU-agreement,62 | Egypt,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,17 | MoU-agreement,3 | Afghanistan,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,17 | MoU-agreement,161 | Nigeria,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,,79 | Ghana,2011,5 | Chinese state loan,
5 | Overseas Office,,103 | India,2011,,
15 | Telecommunications or ICT,,28 | Bolivia,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,,24 | Burundi,2011,5 | Chinese state loan,
15 | Telecommunications or ICT,,154 | Mexico,2011,5 | Chinese state loan,
17 | MoU-agreement,15 | Telecommunications or ICT,2 | United Arab Emirates,2011,5 | Chinese state loan,
3 | Research partnership,,228 | United States,2011,,
15 | Telecommunications or ICT,,239 | Samoa,2011,5 | Chinese state loan,
10 | Subsidiary,,228 | United States,2011,4 | Biotech,
3 | Research partnership,,14 | Australia,2011,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2011,,
10 | Subsidiary,,228 | United States,2011,,
10 | Subsidiary,,74 | United Kingdom,2011,,
5 | Overseas Office,10 | Subsidiary,14 | Australia,2011,,
8 | Data centre,,228 | United States,2011,,
1 | R&D lab,,72 | France,2011,,
1 | R&D lab,3 | Research partnership,54 | Germany,2011,,
15 | Telecommunications or ICT,,174 | Philippines,2011,,
15 | Telecommunications or ICT,,74 | United Kingdom,2011,,
15 | Telecommunications or ICT,18 | Surveillance equipment,134 | Libya,2011,6 | Surveillance,
5 | Overseas Office,,14 | Australia,2011,,
5 | Overseas Office,,14 | Australia,2011,,
13 | Cable Terrestrial,,,2011,5 | Chinese state loan,
3 | Research partnership,,228 | United States,2012,2 | Smart cities,
1 | R&D lab,,74 | United Kingdom,2012,,
1 | R&D lab,,67 | Finland,2012,,
1 | R&D lab,,54 | Germany,2012,,
3 | Research partnership,,9 | Angola,2012,,
5 | Overseas Office,,62 | Egypt,2012,,
15 | Telecommunications or ICT,,66 | Ethiopia,2012,,
15 | Telecommunications or ICT,,220 | Turkey,2012,5 | Chinese state loan,
15 | Telecommunications or ICT,,24 | Burundi,2012,5 | Chinese state loan,
15 | Telecommunications or ICT,,113 | Kenya,2012,5 | Chinese state loan,
15 | Telecommunications or ICT,,45 | Cameroon,2012,,
15 | Telecommunications or ICT,,220 | Turkey,2012,,
11 | Smart cities,,60 | Ecuador,2012,2 | Smart cities,5 | Chinese state loan
3 | Research partnership,,9 | Angola,2012,,
3 | Research partnership,,44 | Chile,2012,,
1 | R&D lab,,56 | Denmark,2012,4 | Biotech,
17 | MoU-agreement,,228 | United States,2012,4 | Biotech,
10 | Subsidiary,,228 | United States,2012,,
1 | R&D lab,,195 | Singapore,2012,,
10 | Subsidiary,,29 | Brazil,2012,,
5 | Overseas Office,10 | Subsidiary,120 | South Korea,2012,,
5 | Overseas Office,10 | Subsidiary,155 | Malaysia,2012,,
5 | Overseas Office,10 | Subsidiary,236 | Vietnam,2012,,
10 | Subsidiary,5 | Overseas Office,243 | South Africa,2012,,
5 | Overseas Office,,36 | Canada,2012,,
15 | Telecommunications or ICT,,175 | Pakistan,2012,,
7 | Investment or joint venture,,72 | France,2012,,
7 | Investment or joint venture,,46 | China,2012,,
17 | MoU-agreement,1 | R&D lab,228 | United States,2012,,
15 | Telecommunications or ICT,,217 | Turkmenistan,2012,,
23 | Satellite calibration centre,,54 | Germany,2012,,
11 | Smart cities,,214 | Tajikistan,2013,2 | Smart cities,5 | Chinese state loan
10 | Subsidiary,1 | R&D lab,20 | Belgium,2013,,
15 | Telecommunications or ICT,,173 | Papua New Guinea,2013,5 | Chinese state loan,
15 | Telecommunications or ICT,,152 | Maldives,2013,,
11 | Smart cities,,233 | Venezuela,2013,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,66 | Ethiopia,2013,,
1 | R&D lab,,161 | Nigeria,2013,,
15 | Telecommunications or ICT,,25 | Benin,2013,5 | Chinese state loan,
3 | Research partnership,,36 | Canada,2013,3 | 5G,
7 | Investment or joint venture,,20 | Belgium,2013,,
10 | Subsidiary,,107 | Iceland,2013,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2013,4 | Biotech,
10 | Subsidiary,,228 | United States,2013,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2013,,
10 | Subsidiary,,195 | Singapore,2013,,
10 | Subsidiary,,143 | Myanmar [Burma],2013,,
15 | Telecommunications or ICT,,66 | Ethiopia,2013,,
15 | Telecommunications or ICT,,124 | Laos,2013,,
15 | Telecommunications or ICT,,79 | Ghana,2013,5 | Chinese state loan,
7 | Investment or joint venture,,130 | Lesotho,2013,5 | Chinese state loan,
15 | Telecommunications or ICT,,220 | Turkey,2013,,
5 | Overseas Office,,14 | Australia,2013,,
10 | Subsidiary,,93 | Hong Kong,2013,1 | Artificial Intelligence,
5 | Overseas Office,,228 | United States,2013,,
7 | Investment or joint venture,3 | Research partnership,213 | Thailand,2013,,
7 | Investment or joint venture,17 | MoU-agreement,27 | Brunei,2013,,
9 | Commercial partnership,,143 | Myanmar [Burma],2013,,
7 | Investment or joint venture,,175 | Pakistan,2013,,
11 | Smart cities,,244 | Zambia,2013,2 | Smart cities,6 | Surveillance
3 | Research partnership,,228 | United States,2013,,
1 | R&D lab,,72 | France,2014,,
1 | R&D lab,,74 | United Kingdom,2014,,
15 | Telecommunications or ICT,,14 | Australia,2014,,
1 | R&D lab,,34 | Belarus,2014,6 | Surveillance,
10 | Subsidiary,,74 | United Kingdom,2014,,
15 | Telecommunications or ICT,,155 | Malaysia,2014,,
15 | Telecommunications or ICT,17 | MoU-agreement,155 | Malaysia,2014,,
15 | Telecommunications or ICT,,188 | Russia,2014,5 | Chinese state loan,
3 | Research partnership,,74 | United Kingdom,2014,2 | Smart cities,
3 | Research partnership,,228 | United States,2014,,
3 | Research partnership,,20 | Belgium,2014,,
3 | Research partnership,,187 | Serbia,2014,,
3 | Research partnership,15 | Telecommunications or ICT,187 | Serbia,2014,5 | Chinese state loan,
12 | 5G,,2 | United Arab Emirates,2014,3 | 5G,
7 | Investment or joint venture,,74 | United Kingdom,2014,,
10 | Subsidiary,7 | Investment or joint venture,228 | United States,2014,4 | Biotech,
5 | Overseas Office,,101 | Israel,2014,4 | Biotech,
3 | Research partnership,,41 | Switzerland,2014,4 | Biotech,
3 | Research partnership,,74 | United Kingdom,2014,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2014,1 | Artificial Intelligence,
7 | Investment or joint venture,,120 | South Korea,2014,,
7 | Investment or joint venture,,228 | United States,2014,,
7 | Investment or joint venture,,120 | South Korea,2014,,
7 | Investment or joint venture,,195 | Singapore,2014,,
5 | Overseas Office,,228 | United States,2014,,
7 | Investment or joint venture,,228 | United States,2014,,
7 | Investment or joint venture,,29 | Brazil,2014,,
15 | Telecommunications or ICT,,93 | Hong Kong,2014,,
15 | Telecommunications or ICT,,175 | Pakistan,2014,,
7 | Investment or joint venture,12 | 5G,213 | Thailand,2014,3 | 5G,
8 | Data centre,,120 | South Korea,2014,,
8 | Data centre,,143 | Myanmar [Burma],2014,,
10 | Subsidiary,,14 | Australia,2014,,
1 | R&D lab,,36 | Canada,2014,,
1 | R&D lab,,181 | Portugal,2014,,
1 | R&D lab,,34 | Belarus,2014,,
3 | Research partnership,17 | MoU-agreement,14 | Australia,2014,,
15 | Telecommunications or ICT,,188 | Russia,2014,,
23 | Satellite calibration centre,,41 | Switzerland,2014,,
23 | Satellite calibration centre,,54 | Germany,2014,,
8 | Data centre,7 | Investment or joint venture,155 | Malaysia,2014,,
23 | Satellite calibration centre,,213 | Thailand,2014,,
3 | Research partnership,17 | MoU-agreement,154 | Mexico,2014,,
8 | Data centre,17 | MoU-agreement,195 | Singapore,2014,,
23 | Satellite calibration centre,,115 | Cambodia,2014,,
3 | Research partnership,23 | Satellite calibration centre,14 | Australia,2014,,
3 | Research partnership,23 | Satellite calibration centre,14 | Australia,2014,,
3 | Research partnership,23 | Satellite calibration centre,14 | Australia,2014,,
10 | Subsidiary,,163 | Netherlands,2014,6 | Surveillance,
10 | Subsidiary,,228 | United States,2014,6 | Surveillance,
9 | Commercial partnership,,228 | United States,2014,,
18 | Surveillance equipment,,155 | Malaysia,2014,6 | Surveillance,
1 | R&D lab,,103 | India,2015,,
1 | R&D lab,,72 | France,2015,,
1 | R&D lab,,20 | Belgium,2015,3 | 5G,
1 | R&D lab,,100 | Ireland,2015,,
1 | R&D lab,7 | Investment or joint venture,54 | Germany,2015,,
15 | Telecommunications or ICT,,54 | Germany,2015,,
15 | Telecommunications or ICT,,74 | United Kingdom,2015,,
11 | Smart cities,17 | MoU-agreement,163 | Netherlands,2015,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,99 | Indonesia,2015,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,163 | Netherlands,2015,2 | Smart cities,6 | Surveillance
8 | Data centre,15 | Telecommunications or ICT,79 | Ghana,2015,5 | Chinese state loan,
15 | Telecommunications or ICT,,224 | Tanzania,2015,,
15 | Telecommunications or ICT,,244 | Zambia,2015,5 | Chinese state loan,
15 | Telecommunications or ICT,,142 | Mali,2015,5 | Chinese state loan,
15 | Telecommunications or ICT,,212 | Togo,2015,5 | Chinese state loan,
15 | Telecommunications or ICT,,29 | Brazil,2015,,
15 | Telecommunications or ICT,,245 | Zimbabwe,2015,5 | Chinese state loan,
15 | Telecommunications or ICT,,174 | Philippines,2015,,
15 | Telecommunications or ICT,,153 | Malawi,2015,,5 | Chinese state loan
3 | Research partnership,,74 | United Kingdom,2015,,
3 | Research partnership,,163 | Netherlands,2015,,
1 | R&D lab,,74 | United Kingdom,2015,3 | 5G,
3 | Research partnership,,228 | United States,2015,,
3 | Research partnership,,228 | United States,2015,,
17 | MoU-agreement,,224 | Tanzania,2015,,
15 | Telecommunications or ICT,,68 | Fiji,2015,,
3 | Research partnership,17 | MoU-agreement,200 | Sierra Leone,2015,,
8 | Data centre,,142 | Mali,2015,,
7 | Investment or joint venture,,100 | Ireland,2015,,
3 | Research partnership,,228 | United States,2015,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2015,4 | Biotech,
7 | Investment or joint venture,,228 | United States,2015,,
7 | Investment or joint venture,,228 | United States,2015,,
7 | Investment or joint venture,,228 | United States,2015,,
1 | R&D lab,,188 | Russia,2015,,
7 | Investment or joint venture,,93 | Hong Kong,2015,,
7 | Investment or joint venture,,228 | United States,2015,,
7 | Investment or joint venture,,103 | India,2015,,
5 | Overseas Office,,188 | Russia,2015,,
5 | Overseas Office,,236 | Vietnam,2015,,
10 | Subsidiary,,120 | South Korea,2015,,
10 | Subsidiary,,36 | Canada,2015,,
10 | Subsidiary,,155 | Malaysia,2015,,
10 | Subsidiary,,14 | Australia,2015,,
15 | Telecommunications or ICT,,175 | Pakistan,2015,,
15 | Telecommunications or ICT,,163 | Netherlands,2015,,
15 | Telecommunications or ICT,,164 | Norway,2015,,
7 | Investment or joint venture,,120 | South Korea,2015,,
3 | Research partnership,12 | 5G,112 | Japan,2015,3 | 5G,
3 | Research partnership,12 | 5G,120 | South Korea,2015,3 | 5G,
15 | Telecommunications or ICT,,228 | United States,2015,,
1 | R&D lab,,112 | Japan,2015,3 | 5G,
15 | Telecommunications or ICT,17 | MoU-agreement,233 | Venezuela,2015,,
6 | Manufacturing facility,17 | MoU-agreement,233 | Venezuela,2015,,
15 | Telecommunications or ICT,7 | Investment or joint venture,155 | Malaysia,2015,,
15 | Telecommunications or ICT,,115 | Cambodia,2015,,
15 | Telecommunications or ICT,,164 | Norway,2015,,
15 | Telecommunications or ICT,,59 | Algeria,2015,,
15 | Telecommunications or ICT,,115 | Cambodia,2015,,
15 | Telecommunications or ICT,,112 | Japan,2015,3 | 5G,
15 | Telecommunications or ICT,,155 | Malaysia,2015,3 | 5G,
15 | Telecommunications or ICT,,99 | Indonesia,2015,,
15 | Telecommunications or ICT,,103 | India,2015,,
15 | Telecommunications or ICT,,236 | Vietnam,2015,,
15 | Telecommunications or ICT,,103 | India,2015,,
1 | R&D lab,3 | Research partnership,13 | Austria,2015,2 | Smart cities,
3 | Research partnership,1 | R&D lab,74 | United Kingdom,2015,,
3 | Research partnership,1 | R&D lab,14 | Australia,2015,1 | Artificial Intelligence,2 | Smart cities
15 | Telecommunications or ICT,,54 | Germany,2015,,
15 | Telecommunications or ICT,,243 | South Africa,2015,,
15 | Telecommunications or ICT,,243 | South Africa,2015,,
15 | Telecommunications or ICT,,243 | South Africa,2015,,
1 | R&D lab,,14 | Australia,2015,3 | 5G,
10 | Subsidiary,,93 | Hong Kong,2015,,
1 | R&D lab,,103 | India,2015,,
11 | Smart cities,,34 | Belarus,2015,2 | Smart cities,6 | Surveillance
22 | Investor,,223 | Taiwan,2015,1 | Artificial Intelligence,
17 | MoU-agreement,,228 | United States,2015,,
5 | Overseas Office,,54 | Germany,2015,,
5 | Overseas Office,,163 | Netherlands,2015,,
9 | Commercial partnership,,112 | Japan,2015,,
9 | Commercial partnership,,228 | United States,2015,,
9 | Commercial partnership,4 | Training,165 | Nepal,2015,,
7 | Investment or joint venture,,228 | United States,2015,,
3 | Research partnership,,112 | Japan,2015,1 | Artificial Intelligence,
3 | Research partnership,,36 | Canada,2015,1 | Artificial Intelligence,
9 | Commercial partnership,,121 | Kuwait,2015,,
9 | Commercial partnership,,226 | Uganda,2015,,
8 | Data centre,,10 | Antarctica,2015,,
10 | Subsidiary,,8 | Netherlands Antilles,2015,6 | Surveillance,
10 | Subsidiary,,2 | United Arab Emirates,2015,6 | Surveillance,
10 | Subsidiary,,154 | Mexico,2015,6 | Surveillance,
10 | Subsidiary,,243 | South Africa,2015,6 | Surveillance,
10 | Subsidiary,,14 | Australia,2015,6 | Surveillance,
10 | Subsidiary,,113 | Kenya,2015,6 | Surveillance,
10 | Subsidiary,,218 | Tunisia,2015,6 | Surveillance,
10 | Subsidiary,,195 | Singapore,2015,6 | Surveillance,
11 | Smart cities,,108 | Italy,2015,6 | Surveillance,
11 | Smart cities,,28 | Bolivia,2015,6 | Surveillance,
11 | Smart cities,,224 | Tanzania,2015,6 | Surveillance,
11 | Smart cities,,171 | Peru,2015,6 | Surveillance,
10 | Subsidiary,,228 | United States,2015,1 | Artificial Intelligence,
11 | Smart cities,,79 | Ghana,2015,2 | Smart cities,6 | Surveillance
3 | Research partnership,1 | R&D lab,14 | Australia,2015,1 | Artificial Intelligence,6 | Surveillance
7 | Investment or joint venture,9 | Commercial partnership,228 | United States,2015,,
11 | Smart cities,18 | Surveillance equipment,139 | Madagascar,2015,2 | Smart cities,6 | Surveillance
11 | Smart cities,,124 | Laos,2015,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,225 | Ukraine,2015,2 | Smart cities,1 | Artificial Intelligence
11 | Smart cities,17 | MoU-agreement,225 | Ukraine,2015,2 | Smart cities,1 | Artificial Intelligence
11 | Smart cities,,244 | Zambia,2015,2 | Smart cities,6 | Surveillance
1 | R&D lab,,54 | Germany,2016,,
1 | R&D lab,,195 | Singapore,2016,,
1 | R&D lab,,154 | Mexico,2016,,
1 | R&D lab,7 | Investment or joint venture,74 | United Kingdom,2016,,
1 | R&D lab,7 | Investment or joint venture,195 | Singapore,2016,,
10 | Subsidiary,1 | R&D lab,101 | Israel,2016,,
1 | R&D lab,,72 | France,2016,,
1 | R&D lab,,67 | Finland,2016,,
1 | R&D lab,7 | Investment or joint venture,176 | Poland,2016,,
1 | R&D lab,,99 | Indonesia,2016,,
11 | Smart cities,7 | Investment or joint venture,150 | Malta,2016,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,168 | New Zealand,2016,,
11 | Smart cities,17 | MoU-agreement,108 | Italy,2016,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,2 | United Arab Emirates,2016,2 | Smart cities,6 | Surveillance
11 | Smart cities,,190 | Saudi Arabia,2016,2 | Smart cities,6 | Surveillance
11 | Smart cities,17 | MoU-agreement,28 | Bolivia,2016,2 | Smart cities,6 | Surveillance
1 | R&D lab,,228 | United States,2016,,
15 | Telecommunications or ICT,,56 | Denmark,2016,,
15 | Telecommunications or ICT,,169 | Oman,2016,2 | Smart cities,
11 | Smart cities,,175 | Pakistan,2016,2 | Smart cities,5 | Chinese state loan
3 | Research partnership,,72 | France,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,228 | United States,2016,,
3 | Research partnership,,54 | Germany,2016,,
3 | Research partnership,,54 | Germany,2016,,
3 | Research partnership,,244 | Zambia,2016,,
3 | Research partnership,,36 | Canada,2016,3 | 5G,
11 | Smart cities,,161 | Nigeria,2016,2 | Smart cities,6 | Surveillance
15 | Telecommunications or ICT,,47 | Colombia,2016,,
12 | 5G,,65 | Spain,2016,3 | 5G,
12 | 5G,,225 | Ukraine,2016,3 | 5G,
3 | Research partnership,,245 | Zimbabwe,2016,,
1 | R&D lab,,228 | United States,2016,4 | Biotech,
6 | Manufacturing facility,,228 | United States,2016,4 | Biotech,
